date/time,text,sentiment,Date,Time,len
2023-03-08 23:47:46+00:00,"@INCIndia Congress Twitter handle is re-editing and using the videos of Bharat Jodo Yatra to shine the image of unsuccessful and frustrated leader Rahul Gandhi. 

People hate Rahul Gandhi and dirty politics of Gandhi family.

@Jairam_Ramesh 
@kcvenugopalmp",Negative,2023-03-08,23:47:46,37
2023-03-08 23:47:36+00:00,@INC_Television @SupriyaShrinate A pakistani person is hoatin Rahul Gandhi in UK... Ye rishta kya kehlata hai Congress ka Pak se ????  What was missing in Bharat Jodo yatra which Pappu couldn't say here that he ran so many kms to speak in London??? Timid fellow!!! 🙏🙏🙏,Negative,2023-03-08,23:47:36,46
2023-03-08 23:39:15+00:00,“Bharat Jodo Yatra is a deeply political message. I don’t think a mass mobilisation such as Yatra has taken place in the last 20 years”- Rahul Gandhi https://t.co/NDArfQM5LX,Negative,2023-03-08,23:39:15,28
2023-03-08 23:38:44+00:00,"@gosaliya_ashik @INCIndia Bharat Jodo Yatra and Holi celebrations are two different occasions, but Congress is using the videos of Yatra to insult Hindu festival. Congress is politicizing Hindu religious celebrations.

But, the truth is Congress is anti-Hindu Party.

@Jairam_Ramesh",Negative,2023-03-08,23:38:44,39
2023-03-08 23:37:40+00:00,"@INCIndia Bharat Jodo Yatra and Holi celebrations are two different occasions, but Congress is using the videos of Yatra to insult Hindu festival. Congress is politicizing Hindu religious celebrations.

But, the truth is Congress is anti-Hindu Party.

@kharge 
@digvijaya_28",Negative,2023-03-08,23:37:40,39
2023-03-08 21:42:40+00:00,"@HiNdU05019434 Ooo to ab pta chla wo Bharat jodo yatra ni thi wo ,,,ladki dhundo yatra thi 😛🤔",Neutral,2023-03-08,21:42:40,18
2023-03-08 21:19:36+00:00,@ActivistSandeep Sahi bole...Bharat Jodo Yatra ke samay yehi pakahandi baba dadhi lagaaye for raha thaa...,Neutral,2023-03-08,21:19:36,15
2023-03-08 19:33:15+00:00,"@ANI Rahul Gandhi is the only mass leader who's openly challenging the real pappu Modi.  RG does PCs, speaks in British Parliament, Cambridge, Indian Parliament, has successfully done historic Bharat Jodo Yatra. Now real pappu Modi is scared and has unleashed his IT coolies on him.",Positive,2023-03-08,19:33:15,46
2023-03-08 19:32:22+00:00,"@PiyushGoyal Rahul Gandhi is the only mass leader who's openly challenging the real pappu Modi.  RG does PCs, speaks in British Parliament, Cambridge, Indian Parliament, has successfully done historic Bharat Jodo Yatra. Now real pappu Modi is scared and has unleashed his IT coolies on him.",Positive,2023-03-08,19:32:22,46
2023-03-08 19:31:00+00:00,"@Iyervval Rahul Gandhi is the only mass leader who's openly challenging the real pappu Modi.  RG does PCs, speaks in British Parliament, Cambridge, Indian Parliament, has successfully done historic Bharat Jodo Yatra. Now real pappu Modi is scared and has unleashed his IT coolies on him.",Positive,2023-03-08,19:31:00,46
2023-03-08 19:30:47+00:00,"@Iyervval Rahul Gandhi is the only mass leader who's openly challenging the real pappu Modi.  RG does PCs, speaks in British Parliament, Cambridge, Indian Parliament, has successfully done historic Bharat Jodo Yatra. Now real pappu Modi is scared and has unleashed his IT coolies on him.",Positive,2023-03-08,19:30:47,46
2023-03-08 19:17:12+00:00,@prakashraaj Is this really your support to Bharat jodo yatra...?? https://t.co/PKeERwCTMM,Negative,2023-03-08,19:17:12,11
2023-03-08 19:09:22+00:00,@ashoswai It's pity Not panic. Of course Modi has made India strong. When ur Bharat Jodo Yatra could not divide India ur Prince Charming went to his master's crying to get him PM post. But little did he know that his masters now sit with head of biggest democracy - INDIA. So lick ur wounds,Negative,2023-03-08,19:09:22,55
2023-03-08 19:06:15+00:00,"@Shehzad_Ind Bitter true, jairam ramesh and sam pitroda were the main people behind this pr movement,  but failed again, his iq is so low.He lives like prince, he never did hard work, bharat jodo yatra was just a picnic for him. Immediately after this he went to gulmarg for his entertainment",Negative,2023-03-08,19:06:15,51
2023-03-08 18:42:10+00:00,"but a man who has walked the country, met and spoken to thousands, those sometimes overlooked or unheard by power, has a story to tell. Politicians don’t know it all, but Bharat Jodo Yatra, says just that, tell me what is wrong and I promise to listen 👂.listen",Negative,2023-03-08,18:42:10,48
2023-03-08 18:42:09+00:00,"The  Bharat Jodo Yatra was important to listen to the voices of thousands. “A constituency of around one hundred thousand, contains a hundred thousand opinions, a country of 1.4 billion, has a 1.4 billion opinions. We can never know them all,",Positive,2023-03-08,18:42:09,41
2023-03-08 18:32:03+00:00,"@SupriyaShrinate Auntyji ur party is famous for photo shop during Bharat Jodo Yatra so no point in barking like a mad dog. Some of ur photo shop attached for your memory.
Still more photos are in stock on request it will be released. https://t.co/QmrgAPeeBt",Negative,2023-03-08,18:32:03,44
2023-03-08 18:24:29+00:00,"Bharat Jodo Yatra 

145 days, over 4000 kms, 12 public meetings, over 100 corner meetings, 13 press conferences &amp; over 350 public interactions ❣️ https://t.co/Tys9AVyTvw",Neutral,2023-03-08,18:24:29,25
2023-03-08 18:18:33+00:00,"Rahul done so impressive work by doing Bharat jodo yatra,but now he is taking good care to ruin that good work. His political adviser are really lost what nation thinks and believe. Poor planning.",Positive,2023-03-08,18:18:33,34
2023-03-08 18:13:20+00:00,"@naomi2009 @timesofindia He speaks a lot in India. You can check his so called Bharat Jodo Yatra which had massive media coverage. The main issue here is no one is interested in what he blabbers, And it showed in the recent poll results. Ask him to speak against India more 2024 congress will be wiped out",Positive,2023-03-08,18:13:20,56
2023-03-08 18:12:11+00:00,"@sardesairajdeep Rahul has no issues except hate Modi,  hate BJP,  hate RSS,  and hate hindus   etc. His naive political career is over as he could not gather voters after Bharat Jodo Yatra which is a total failure therefore he began denigrating india and Modiji on foreign soil but no use.",Negative,2023-03-08,18:12:11,50
2023-03-08 18:05:39+00:00,@Dr_RizwanAhmed Dr Sahab ye naughty jaan boojh ke hara rang pota hain. Ismey iska dosh nahi hain ye bharat jodo yatra mey samil tha usi ka asr hain.,Neutral,2023-03-08,18:05:39,28
2023-03-08 18:03:51+00:00,@SupriyaShrinate @RahulGandhi One of them is doing the Bharat Jodo Yatra and hearing from everyone.,Neutral,2023-03-08,18:03:51,15
2023-03-08 17:57:40+00:00,"@vonbrauckmann @RahulGandhi It's the hangover of ""Bharat Jodo yatra"". He always gives a hint before the embarrassment round begins, so, next time wait for a pause with looks below https://t.co/NF904TWVrr",Negative,2023-03-08,17:57:40,30
2023-03-08 17:53:46+00:00,@aajtak From Bharatjodo yatra to anti-national activities of JNU and many more...and stil saying no freedom of expression...gaddar,Neutral,2023-03-08,17:53:46,18
2023-03-08 17:43:32+00:00,@Kapa_IYC @DrJayanThiyagu @anandhi_adi @B5001001101 @K_T_L @MKumaramangalam @Priyanadh19 @RajkumarMadhav5 @JAslamBasha @SyedHazeena @laksr_tn Done 👍,Neutral,2023-03-08,17:43:32,13
2023-03-08 17:41:40+00:00,@karthikgnath Happy Fringes Day,Positive,2023-03-08,17:41:40,4
2023-03-08 17:32:52+00:00,"@SinghNishantK @PoonamJoshi_ Losing sleep?? Man, you are hilarious.. Now I know why you have made Pappu  you master.. Keep it up… Result of Bharat Jodo Yatra was visible in  North East… How many seats did Pappu Party win??",Positive,2023-03-08,17:32:52,38
2023-03-08 17:25:26+00:00,"@khurshidmso @asadowaisi I believe in law and constitution,  sure justice will prevail. I have seen your timelines you are mocking secularism and Rahul Gandhi, Rahul Gandhi the person who Did the Bharat Jodo yatra and the central message of this yatra was love and brotherhood. Against violence.",Positive,2023-03-08,17:25:26,47
2023-03-08 17:23:56+00:00,@koshurkoul @PoonamJoshi_ Yet all bhakt losing sleep on everything he says and does . If bharat Jodo yatra is any indication then winds of change have started and MITR Kaal will end soon .,Negative,2023-03-08,17:23:56,34
2023-03-08 17:20:27+00:00,"@SupriyaShrinate Mam "" BHARAT JODO YATRA"" bhi to holi hi thi...
Har Pradesh ka Rang apne me simtaya hua!!!",Neutral,2023-03-08,17:20:27,19
2023-03-08 17:20:10+00:00,@captrajlakhani Agree and + Bharat Jodo yatra exposed the entire ecosystem..,Neutral,2023-03-08,17:20:10,11
2023-03-08 17:08:17+00:00,We go for a good 10km morning run and then mistakenly eat two Gulab Jamuns later in the day only to waste all the effort! Happens all the time. RG's Bharat Jodo Yatra followed by this London visit gives me the same feels 😅😂,Negative,2023-03-08,17:08:17,44
2023-03-08 17:06:25+00:00,"Bharat Jodo Yatra - heard she has been arrested under serious offences

Can one confirm ? https://t.co/RTAYi5NkIL",Neutral,2023-03-08,17:06:25,17
2023-03-08 17:03:00+00:00,"@MumbaichaDon @PoonamJoshi_ 3rd Whatever the question asked the replies are same RSS, VHP democracy gone. Bharat jodo yatra. Rural, Urban
 Wrong and Right. Thats it.",Negative,2023-03-08,17:03:00,25
2023-03-08 16:47:32+00:00,Rahul Gandhi from Bharat jodo yatra to Bharat thodo yatra in london...,Neutral,2023-03-08,16:47:32,12
2023-03-08 16:43:43+00:00,"@SupriyaShrinate If he did bharat jodo yatra to promote fashion industry , it would be success as well as failed, He should try in modeling instead of politics, he will be good model ,",Positive,2023-03-08,16:43:43,34
2023-03-08 16:09:03+00:00,Greetings on women's DAY https://t.co/3YJO4mJegn,Neutral,2023-03-08,16:09:03,5
2023-03-08 16:04:39+00:00,@prakashraaj Irony is that this fellow had joined Pappu in Bharat jodo yatra. What a hypocrite.  🤣🤣😂😂😀😀,Negative,2023-03-08,16:04:39,17
2023-03-08 16:01:25+00:00,@truthalwayzwin CPI-M is in Alliance With Congress and they also participated in Finale Of Bharat Jodo Yatra,Positive,2023-03-08,16:01:25,17
2023-03-08 15:44:00+00:00,I love you Congress party Rahul Gandhi Bharat jodo Yatra,Positive,2023-03-08,15:44:00,10
2023-03-08 15:38:21+00:00,Karnataka election ka apne zikar nai kiya jo aap Bharat jodo yatra aksar nai daily karti ab apne column.. me Karnataka naam bhi nai likha seedha Madhya Pradesh or rajasthan yahan bhi chaisgadh gayab matlab kya he just asking,Neutral,2023-03-08,15:38:21,39
2023-03-08 15:28:34+00:00,"@ykher417 @B5001001101 @himantabiswa @narendramodi Kasba Peth.. Don't forget it.. 
That's the effect of Bharat Jodo Yatra..",Neutral,2023-03-08,15:28:34,16
2023-03-08 15:28:03+00:00,"@amitmalviya All that time, money &amp; effort spent in organising and executing the Bharat Jodo Yatra to improve the image of #Pappu, have been destroyed by this one week tour of London by the very same #Pappu !",Negative,2023-03-08,15:28:03,38
2023-03-08 15:25:29+00:00,@ActivistSandeep Thik tumko Bharat jodo yatra me dhakka maar rahe the @RahulGandhi  jee ...tumhare hi chakkar me 10-12 seat haarenge iss baar,Neutral,2023-03-08,15:25:29,22
2023-03-08 15:22:29+00:00,"@askrajeshsahu @PRIYADARSHIPREM bahoot khoob..
sahab ka anantnaag me rozgaar lagaya jaaye.. waha aisi misaale pesh kar logo ko ek karne ka kaam aap hi kar sakte hai, bharat jodo yatra.. dhanyawaad",Neutral,2023-03-08,15:22:29,31
2023-03-08 15:22:10+00:00,"Ya what about her, chacha https://t.co/LQoff6waix",Neutral,2023-03-08,15:22:10,6
2023-03-08 15:18:00+00:00,Typical g**nd fattu shanghi sorry worker ki aulad running away,Negative,2023-03-08,15:18:00,10
2023-03-08 15:08:51+00:00,@RahulGandhi Because of true democracy in India you completed your Bharat jodo Yatra without any problem even when you spoke lies.,Positive,2023-03-08,15:08:51,21
2023-03-08 15:03:27+00:00,He will be the last nail in the coffin for congress …RIP bharat jodo yatra..जो कुछ भी समेटा था सब मिटा दिया #PMModi #khangress #RahulGandhiinCambridge,Neutral,2023-03-08,15:03:27,25
2023-03-08 14:59:55+00:00,@INCIndia Bharat Jodo Yatra's a thing of the past now. People've forgotten all about it. Western countries want the best of relations with India. They respect PM Modi &amp; want him to take initiative in ending Russia Ukraine war. The war's doing a lot of harm to all countries including India.,Positive,2023-03-08,14:59:55,51
